,Unnamed: 0,year,over_start_bowler_balls_bowled,over_start_bowler_wickets_taken,over_start_bowler_runs_given,over_start_batsman_on_strike_fours,over_start_batsman_on_strike_sixers,over_start_batsman_off_strike_balls_faced,over_start_batsman_on_strike_balls_faced,over_start_batsman_offstrike_runs,over_start_batsman_onstrike_runs,innings,match_num,country,target,req_run_rate,over_start_run_rate,over_start_total_score,over_start_total_wickets_fallen,over,Bowler,batter_onStrike,batter_offstrike,wickets_fallen,sixers,fours,total_runs,bat_on_str_Ave,bat_on_str_SR,bat_on_str_100,bat_on_str_50,bat_on_str_0,bat_on_str_4s,bat_on_str_6s,bat_on_str_Mat,bat_on_str_Inns,bat_on_str_NO,bat_on_str_Runs,bat_on_str_HS,bat_on_str_BF,bowler_Mat,bowler_Inns,bowler_Overs,bowler_Mdns,bowler_Runs,bowler_Wkts,bowler_Ave,bowler_Econ,bowler_SR,bowler_4w,bowler_5w,bat_off_str_Ave,bat_off_str_SR,bat_off_str_100,bat_off_str_50,bat_off_str_0,bat_off_str_4s,bat_off_str_6s,bat_off_str_Mat,bat_off_str_Inns,bat_off_str_NO,bat_off_str_Runs,bat_off_str_HS,bat_off_str_BF,date
5658,5658,['2022-11-09'],6,0,7,0,0,13,28,21,28,1,1877,New Zealand,210,9.0,6.75,81,3,12,Mohammad Wasim,KS Williamson,DJ Mitchell,0,1,0,8,32.73,123.46,0,16,4,225,54,85.0,83,11,2357,95,1909,,,,,,,,,,,,25.46,138.71,0,2,1,49,27,38.0,36,8,713,72,514,2022-11-09
5740,5740,['2022-11-13'],18,2,8,0,0,3,4,3,3,1,1879,Pakistan,210,12.0,7.055555556,127,6,18,SM Curran,Mohammad Nawaz,Mohammad Wasim,1,0,0,4,18.13,131.54,0,0,4,36,19,54.0,33,10,417,45,317,34.0,34,111.4,1,880,38,23.15,7.88,17.6,0,1,,,,,,,,,,,,,,2022-11-13
5741,5741,['2022-11-13'],18,1,22,0,0,1,5,1,4,1,1879,Pakistan,210,10.0,6.894736842,131,7,19,CJ Jordan,Mohammad Wasim,Shaheen Shah Afridi,1,0,1,6,,,,,,,,,,,,,,83.0,82,290.5,2,2544,93,27.35,8.74,18.7,3,0,9,124.13,0,0,1,2,2,46.0,7,3,36,16,29,2022-11-13
5749,5749,['2022-11-13'],0,0,0,0,0,6,8,7,3,2,1879,England,138,6.461538462,7.714285714,54,3,7,Mohammad Wasim,BA Stokes,HC Brook,0,0,0,7,19.74,130.63,0,0,1,37,21,42.0,35,8,533,47,408,,,,,,,,,,,,27.07,142.51,0,1,0,29,15,19.0,16,3,352,81,247,2022-11-13
5751,5751,['2022-11-13'],8,0,7,1,0,15,13,11,12,2,1879,England,138,6.272727273,7.666666667,69,3,9,Mohammad Wasim,HC Brook,BA Stokes,0,0,1,8,27.07,142.51,0,1,0,29,15,19.0,16,3,352,81,247,,,,,,,,,,,,19.74,130.63,0,0,1,37,21,42.0,35,8,533,47,408,2022-11-13
5758,5758,['2022-11-13'],14,0,15,0,0,40,7,39,5,2,1879,England,138,7.0,6.875,110,4,16,Mohammad Wasim,MM Ali,BA Stokes,0,0,3,16,22.77,145.8,0,7,9,79,55,70.0,60,15,1025,72,703,,,,,,,,,,,,19.74,130.63,0,0,1,37,21,42.0,35,8,533,47,408,2022-11-13
5760,5760,['2022-11-13'],20,0,31,4,1,12,47,19,46,2,1879,England,138,3.5,7.277777778,131,4,18,Mohammad Wasim,BA Stokes,MM Ali,1,0,1,7,19.74,130.63,0,0,1,37,21,42.0,35,8,533,47,408,,,,,,,,,,,,22.77,145.8,0,7,9,79,55,70.0,60,15,1025,72,703,2022-11-13
5800,5800,['2023-01-03'],0,0,0,0,0,0,0,0,0,1,1984,India,210,10.0,0.0,0,0,0,CAK Rajitha,Ishan Kishan,Shubman Gill,0,1,2,17,29.45,129.16,0,4,0,65,23,21.0,21,1,589,89,456,13.0,13,48,0,452,13,34.76,9.41,22.1,0,0,,,,,,,,,,,,,,2023-01-03
5801,5801,['2023-01-03'],0,0,0,0,0,7,0,16,0,1,1984,India,210,10.0,17.0,17,0,1,D Madushanka,Shubman Gill,Ishan Kishan,0,0,1,9,,,,,,,,,,,,,,6.0,6,20,0,155,6,25.83,7.75,20,0,0,29.45,129.16,0,4,0,65,23,21.0,21,1,589,89,456,2023-01-03
5802,5802,['2023-01-03'],0,0,0,2,1,5,9,7,17,1,1984,India,210,10.0,13.0,26,0,2,M Theekshana,Ishan Kishan,Shubman Gill,1,0,0,3,29.45,129.16,0,4,0,65,23,21.0,21,1,589,89,456,32.0,32,122.1,0,802,31,25.87,6.56,23.6,0,0,,,,,,,,,,,,,,2023-01-03
